Time [s],Pin4,Pin5,OtherStrobeMaybe_n,TRESETn,StrobeMaybe
1.834286100,0,1,1,1,0
1.834286220,0,0,1,1,0
1.834289200,0,0,1,1,1
1.834289260,0,0,0,1,1
1.834290120,0,0,0,1,0
1.834290160,0,0,1,1,0
1.834290380,0,1,1,1,0
1.834290520,0,0,1,1,0
1.834290640,0,1,1,1,0
1.834290760,0,0,1,1,0
1.834290880,0,1,1,1,0
1.834291020,0,0,1,1,0
1.834291140,0,1,1,1,0
1.834291260,0,0,1,1,0
1.834291380,0,1,1,1,0
1.834291520,0,0,1,1,0
1.834291640,0,1,1,1,0
1.834291760,0,0,1,1,0
1.834291900,0,1,1,1,0
1.834292020,0,0,1,1,0
1.834292140,0,1,1,1,0
1.834292260,0,0,1,1,0
1.834295240,0,0,1,1,1
1.834295320,0,0,0,1,1
1.834296160,0,0,0,1,0
1.834296220,0,0,1,1,0
1.834296440,0,1,1,1,0
1.834296560,0,0,1,1,0
1.834296680,0,1,1,1,0
1.834296820,0,0,1,1,0
1.834296940,0,1,1,1,0
1.834297060,0,0,1,1,0
1.834297180,0,1,1,1,0
1.834297320,0,0,1,1,0
1.834297440,0,1,1,1,0
1.834297560,0,0,1,1,0
1.834297680,0,1,1,1,0
1.834297820,0,0,1,1,0
1.834297940,0,1,1,1,0
1.834298060,0,0,1,1,0
1.834298200,0,1,1,1,0
1.834298320,0,0,1,1,0
1.834301300,0,0,1,1,1
1.834301360,0,0,0,1,1
1.834302200,0,0,0,1,0
1.834302260,0,0,1,1,0
1.834302480,0,1,1,1,0
1.834302620,0,0,1,1,0
1.834302740,0,1,1,1,0
1.834302860,0,0,1,1,0
1.834302980,0,1,1,1,0
1.834303120,0,0,1,1,0
1.834303240,0,1,1,1,0
1.834303360,0,0,1,1,0
1.834303480,0,1,1,1,0
1.834303620,0,0,1,1,0
1.834303740,0,1,1,1,0
1.834303860,0,0,1,1,0
1.834303980,0,1,1,1,0
1.834304120,0,0,1,1,0
1.834304240,0,1,1,1,0
1.834304360,0,0,1,1,0
1.834307340,0,0,1,1,1
1.834307420,0,0,0,1,1
1.834308260,0,0,0,1,0
1.834308320,0,0,1,1,0
1.834308540,0,1,1,1,0
1.834308660,0,0,1,1,0
1.834308780,0,1,1,1,0
1.834308920,0,0,1,1,0
1.834309040,0,1,1,1,0
1.834309160,0,0,1,1,0
1.834309280,0,1,1,1,0
1.834309420,0,0,1,1,0
1.834309540,0,1,1,1,0
1.834309660,0,0,1,1,0
1.834309780,0,1,1,1,0
1.834309920,0,0,1,1,0
1.834310040,0,1,1,1,0
1.834310160,0,0,1,1,0
1.834310280,0,1,1,1,0
1.834310420,0,0,1,1,0
1.834313400,0,0,1,1,1
1.834313460,0,0,0,1,1
1.834314300,0,0,0,1,0
1.834314360,0,0,1,1,0
